date,platform,extraction_run,official_dau,model_dau,interval_id
2025-10-31,STEAM,1,331004.9,290129.00148541207,4
2025-11-02,STEAM,1,340984.9,285896.1656600295,4
2025-11-03,STEAM,1,369261.7,283886.1733393285,4
2025-11-05,STEAM,1,370925.0,280059.0910383309,4
2025-11-06,STEAM,1,370925.0,374760.7206093961,4
2025-11-07,STEAM,1,354291.6,386078.6899002412,4
2025-11-09,STEAM,1,355954.9,381907.9356430475,4
2025-11-10,STEAM,1,355954.9,375345.70252929366,4
2025-11-12,STEAM,1,352628.3,360608.93475727865,4
2025-11-13,STEAM,1,347638.3,344104.533175618,4
2025-11-15,STEAM,1,350964.9,329692.50900858326,4
2025-11-16,STEAM,1,349301.6,324225.98162466683,4
2025-11-18,STEAM,1,342648.2,315154.86224685644,4
2025-11-19,STEAM,1,337658.2,311276.09641014074,4
2025-11-21,STEAM,1,337658.2,304442.38661408226,4
2025-11-22,STEAM,1,334331.6,301390.68868869037,4
2025-11-24,STEAM,1,326014.9,295853.2679038852,4
2025-11-25,STEAM,1,324351.5,293321.1259902591,4
2025-11-26,STEAM,1,324351.5,290922.7455753997,4
2025-11-28,STEAM,1,322688.2,286472.8255271672,4
2025-11-29,STEAM,1,316034.8,284399.21440913074,4
2025-12-01,STEAM,1,311044.8,280510.9033226064,4
2025-12-02,STEAM,1,312708.2,278682.10947301064,4
2025-12-04,STEAM,1,309381.5,275226.3236228953,4
2025-12-05,STEAM,1,304391.5,273589.73684190406,4
2025-12-07,STEAM,1,301064.8,270478.98029187886,4
2025-12-08,STEAM,1,301064.8,268997.95453852904,4
2025-12-10,STEAM,1,299401.5,266169.8892491476,4
2025-12-11,STEAM,1,299401.5,264817.76141430886,4
2025-12-13,STEAM,1,296074.8,262226.2172611478,4
2025-12-14,STEAM,1,297738.1,260982.90776549059,4
2025-12-15,STEAM,1,299401.5,259772.2346677803,4
2025-12-20,STEAM,1,387558.4,254156.79387791536,4
2025-12-21,STEAM,1,359281.6,253112.37517461105,4
2025-12-23,STEAM,1,354291.6,251093.5043482231,4
2025-12-24,STEAM,1,379241.7,250117.1833855359,4
2025-12-26,STEAM,1,384231.7,248226.5163455805,4
2025-12-27,STEAM,1,382568.4,247310.61704279418,4
2025-12-29,STEAM,1,379241.7,245534.1288914589,4
2025-12-30,STEAM,1,394211.7,244672.23315893594,4
2026-01-01,STEAM,1,395875.1,313908.5766942369,4
2026-01-02,STEAM,1,402528.4,314398.52764154744,4
2026-01-03,STEAM,1,397538.4,311787.0562920841,4
2026-01-05,STEAM,1,370925.0,303313.7026723649,4
2026-01-06,STEAM,1,365935.0,298755.1614957007,4
2026-01-08,STEAM,1,349301.6,356429.97854691744,4
2026-01-09,STEAM,1,342648.2,362379.267564034,4
2026-01-11,STEAM,1,345974.9,355508.53263432963,4
2026-01-12,STEAM,1,347638.3,349162.0921248729,4
2026-01-14,STEAM,1,344311.6,444171.82430864085,4
2026-01-15,STEAM,1,342648.2,445505.3565384969,4
2026-01-17,STEAM,1,364271.6,432311.1528476515,4
2026-01-18,STEAM,1,364271.6,422048.70937934576,4
2026-01-19,STEAM,1,350964.9,411453.2944705995,4
2026-01-21,STEAM,1,345974.9,380965.0933441081,4
2026-01-22,STEAM,1,357618.3,370573.4443429746,4
2026-01-24,STEAM,1,357618.3,354931.8228035757,4
2026-01-25,STEAM,1,349301.6,348628.20535983576,4
2023-08-11,STEAM,2,86494.2,50986.51543007585,1
2023-08-14,STEAM,2,84937.9,49755.02351375482,1
2023-08-24,STEAM,2,89820.9,46345.270989891826,1
2023-08-27,STEAM,2,89820.9,45482.47181346352,1
2023-10-11,STEAM,2,113107.6,43693.745034701715,1
2023-10-14,STEAM,2,126414.3,42879.190705653935,1
2023-10-17,STEAM,2,126414.3,42145.74916755658,1
2023-11-07,STEAM,2,107451.0,38976.58406433776,1
2023-11-10,STEAM,2,104206.6,38488.643824776824,1
2023-12-22,STEAM,2,96474.3,78724.54396456815,1
2024-01-02,STEAM,2,93147.6,87625.45882288789,1
2024-01-04,STEAM,2,93147.6,83280.92853280064,1
2024-01-07,STEAM,2,96474.3,74674.97881839161,1
2024-01-18,STEAM,2,126414.3,81796.33320937306,1
2024-01-26,STEAM,2,106454.3,69736.69221122088,1
2024-02-03,STEAM,2,109781.0,84909.01926536753,1
2024-03-06,STEAM,2,109781.0,83041.32483443197,1
2024-03-11,STEAM,2,126414.3,76818.92759389935,1
2024-03-16,STEAM,2,109781.0,72435.76477798993,1
2024-04-06,STEAM,2,119761.0,80618.18246029837,1
2024-04-14,STEAM,2,116434.3,108471.76284023674,1
2024-04-17,STEAM,2,114008.8,100493.19762048604,1
2024-04-20,STEAM,2,113107.6,89586.33449853619,1
2024-04-30,STEAM,2,118004.3,76946.17863381038,1
2024-05-14,STEAM,2,113107.6,101572.84875968297,1
2024-05-19,STEAM,2,123087.7,93245.65443136501,1
2024-05-22,STEAM,2,129741.0,89609.66715806891,1
2024-05-27,STEAM,2,136394.4,84827.79384394262,1
2024-05-30,STEAM,2,152659.9,82485.41284431721,1
2024-06-25,STEAM,2,137057.5,93760.47036459326,1
