date,platform,extraction_run,official_dau,model_dau,interval_id,model_dau_scaled
2024-03-11,TOTAL,1,189621.2,76818.92759389935,1,150318.13290278922
2024-03-13,TOTAL,1,184631.2,74906.98444712948,1,146576.8710414149
2024-03-16,TOTAL,1,187957.8,72435.76477798993,1,141741.22521436735
2024-03-19,TOTAL,1,182967.8,70324.5623610378,1,137610.0557820919
2024-03-21,TOTAL,1,189621.2,69072.84206713375,1,135160.70816179097
2024-03-24,TOTAL,1,189621.2,67382.83783963502,1,131853.73307072493
2024-03-27,TOTAL,1,191284.5,65877.88829594666,1,128908.87022759792
2024-03-29,TOTAL,1,209581.2,81114.6524561859,1,158723.94330639977
2024-04-01,TOTAL,1,207917.9,79002.64224112476,1,154591.1931868209
2024-04-04,TOTAL,1,201264.5,73920.60996261341,1,144646.74814723403
2024-04-06,TOTAL,1,196274.5,80618.18246029837,1,157752.45821592063
2024-04-09,TOTAL,1,197937.9,77590.36759732635,1,151827.67520692933
2024-04-12,TOTAL,1,197937.9,110805.33228023433,1,216822.22319074316
2024-04-14,TOTAL,1,196274.5,108471.76284023674,1,212255.92928107263
2024-04-17,TOTAL,1,199601.2,100493.19762048604,1,196643.59174082163
2024-04-20,TOTAL,1,201264.5,89586.33449853619,1,175301.2044976028
2024-04-22,TOTAL,1,194611.2,85954.62945929737,1,168194.7381897422
2024-04-25,TOTAL,1,192947.8,81860.90200015958,1,160184.19329482305
2024-04-28,TOTAL,1,196274.5,78707.95573475293,1,154014.55502202339
2024-04-30,TOTAL,1,199601.2,76946.17863381038,1,150567.1358416285
2024-05-03,TOTAL,1,202927.9,140192.48609623546,1,274326.5679051203
2024-05-06,TOTAL,1,199601.2,134814.9484040562,1,263803.8822751408
2024-05-08,TOTAL,1,204591.2,126702.06814729779,1,247928.7190717863
2024-05-11,TOTAL,1,226214.6,109254.424748288,1,213787.43044097352
2024-05-14,TOTAL,1,201264.5,101572.84875968297,1,198756.23700304655
2024-05-16,TOTAL,1,194611.2,97785.33036940442,1,191344.8774515125
2024-05-19,TOTAL,1,196274.5,93245.65443136501,1,182461.7072177745
2024-05-22,TOTAL,1,202927.9,89609.66715806891,1,175346.8614981165
2024-05-24,TOTAL,1,202927.9,87538.83098795227,1,171294.68013618587
2024-05-27,TOTAL,1,206254.5,84827.79384394262,1,165989.76304762703
2024-05-30,TOTAL,1,217897.9,82485.41284431721,1,161406.22680937027
2024-06-01,TOTAL,1,239521.3,81086.80912884738,1,158669.4598983333
2024-06-04,TOTAL,1,246174.7,79188.43225968668,1,154954.74432684516
2024-06-07,TOTAL,1,252828.0,77489.41241496973,1,151630.12761034048
2024-06-09,TOTAL,1,242848.0,76450.08870305156,1,149596.39445693023
2024-06-12,TOTAL,1,242848.0,75010.82371383891,1,146780.06217129205
2024-06-15,TOTAL,1,244511.3,121749.11790856619,1,238236.8598442997
2024-06-17,TOTAL,1,246174.7,117597.99983314643,1,230114.01384656838
2024-06-23,TOTAL,1,246174.7,97188.86191336974,1,190177.71686420872
