date,model_dau
2023-06-06,64659.52537644982
2023-06-07,63066.160740640684
2023-06-08,59615.43773271634
2023-06-09,67475.14086193916
2023-06-10,67384.26106993039
2023-06-11,66393.27753444905
2023-06-12,65064.28538608756
2023-06-13,63628.71938673859
2023-06-14,62196.2613497093
2023-06-15,73293.29272438458
2023-06-16,72758.7670500049
2023-06-17,71682.0956035543
2023-06-18,70175.42652168678
2023-06-19,68519.97332610973
2023-06-20,66855.40660210604
2023-06-21,65250.59677461132
2023-06-22,62527.42898197472
2023-06-23,60952.46533317947
2023-06-24,59619.40255726296
2023-06-25,58444.89970961605
2023-06-26,57387.895097310946
2023-06-27,56423.32329434233
2023-06-28,55534.20854704575
2023-06-29,84156.75997298468
2023-06-30,87377.36417164818
2023-07-01,87266.84961542528
2023-07-02,85727.65587415278
2023-07-03,83571.84142980113
2023-07-04,81201.2703913873
2023-07-05,78822.06805937295
2023-07-06,73682.07737806239
2023-07-07,71153.07598676904
2023-07-08,69110.97062442472
2023-07-09,67370.97026424306
2023-07-10,65845.58377132865
2023-07-11,64483.25082788834
2023-07-12,63250.134919676326
2023-07-13,77310.82005816424
2023-07-14,78330.43596677508
2023-07-15,77682.67489761212
2023-07-16,76341.35124357893
2023-07-17,74719.4455748508
2023-07-18,73019.5101499745
2023-07-19,71343.99707947011
2023-07-20,68270.25367281979
2023-07-21,66566.13541494531
2023-07-22,65133.84124985419
2023-07-23,63876.11170506434
2023-07-24,62746.13822613968
2023-07-25,61715.86418278161
2023-07-26,60766.55720430124
2023-07-27,59884.85082395388
2023-07-28,59060.758939650055
2023-07-29,58286.562476322666
2023-07-30,57556.134878605095
2023-07-31,56864.5093035261
2023-08-01,56207.5882226189
2023-08-02,55581.941454880114
2023-08-03,54984.66148194566
2023-08-04,54413.257185439405
2023-08-05,53865.57412406679
2023-08-06,53339.73360919955
2023-08-07,52834.085388915744
2023-08-08,52347.17037324964
2023-08-09,51877.69089469816
2023-08-10,51424.486709233955
2023-08-11,50986.51543007585
2023-08-12,50562.836426437294
2023-08-13,50152.59746095698
2023-08-14,49755.02351375482
2023-08-15,49369.40736858574
2023-08-16,48995.10163113069
2023-08-17,48631.51192043424
2023-08-18,48278.091028350034
2023-08-19,47934.33388313761
2023-08-20,47599.773185302554
2023-08-21,47273.97560871369
2023-08-22,46956.538479666146
2023-08-23,46647.08686213287
2023-08-24,46345.270989891826
2023-08-25,46050.7639962253
2023-08-26,45763.259899990946
2023-08-27,45482.47181346352
2023-08-28,45208.130342751
2023-08-29,44939.9821560391
2023-08-30,44677.78869860139
2023-08-31,44421.32503657516
2023-09-01,44170.37881406165
2023-09-02,43924.749310256215
2023-09-03,43684.24658512279
2023-09-04,43448.69070365644
2023-09-05,43217.911030077186
2023-09-06,42991.74558440455
2023-09-07,42770.040454808855
2023-09-08,42552.64925994689
2023-09-09,42339.43265618786
2023-09-10,42130.25788523894
2023-09-11,41924.99835820108
2023-09-12,41723.533272539076
2023-09-13,41525.747258844145
2023-09-14,41331.53005461121
2023-09-15,59641.514926130236
2023-09-16,61962.39699945113
2023-09-17,62164.39848146697
2023-09-18,61446.216696762094
2023-09-19,60320.85969542501
2023-09-20,59043.131787562124
2023-09-21,57744.47852120874
2023-09-22,54697.52569470809
2023-09-23,53278.44777603412
2023-09-24,52154.00650954168
2023-09-25,51209.152395475954
2023-09-26,50389.83039324438
2023-09-27,49664.447250273304
2023-09-28,49012.45063181185
2023-09-29,48419.55774099025
2023-09-30,47875.37733352759
2023-10-01,47372.08664825631
2023-10-02,46903.636986511425
2023-10-03,46465.2490406956
2023-10-04,46053.07796165361
2023-10-05,45663.98313591763
2023-10-06,45295.36529394872
2023-10-07,44945.04841918404
2023-10-08,44611.19233561137
2023-10-09,44292.226825515376
2023-10-10,43986.80118198786
2023-10-11,43693.745034701715
2023-10-12,43412.03754643837
2023-10-13,43140.78291734505
2023-10-14,42879.190705653935
2023-10-15,42626.559870440266
2023-10-16,42382.26572215971
2023-10-17,42145.74916755658
2023-10-18,41916.50778155247
2023-10-19,41694.08834624408
2023-10-20,41478.08057724254
2023-10-21,41268.111817914105
2023-10-22,41063.8425279717
2023-10-23,40864.96242809911
2023-10-24,40671.18718957518
2023-10-25,40482.25557916591
2023-10-26,41345.09780307778
2023-10-27,41307.12230242617
2023-10-28,41153.20532846112
2023-10-29,40951.00968186546
2023-10-30,40729.40036709297
2023-10-31,40502.63968166198
2023-11-01,40278.01853757768
2023-11-02,39957.625659449965
2023-11-03,39732.42767306161
2023-11-04,39526.8393220931
2023-11-05,39334.23430448117
2023-11-06,39151.445633437106
2023-11-07,38976.58406433776
2023-11-08,38808.39114843652
2023-11-09,38645.968707903776
2023-11-10,38488.643824776824
2023-11-11,38335.89357883699
2023-11-12,38187.29974254155
2023-11-13,38042.51990712624
2023-11-14,37901.268243788414
2023-11-15,37763.30221630269
2023-11-16,53585.904156757126
2023-11-17,55617.37801727557
2023-11-18,55821.16660185629
2023-11-19,55231.12330674124
2023-11-20,54289.68373218697
2023-11-21,53216.583718854214
2023-11-22,52125.16582551919
2023-11-23,49525.4862196119
2023-11-24,56093.48590737679
2023-11-25,56203.98725346289
2023-11-26,55578.472086104615
2023-11-27,54673.38179778731
2023-11-28,53676.78077939752
2023-11-29,52677.901093453176
2023-11-30,70034.19190889192
2023-12-01,70865.70206532818
2023-12-02,70313.28852054874
2023-12-03,68998.99317211678
2023-12-04,67378.37658679952
2023-12-05,65677.79244066383
2023-12-06,64011.506806679536
2023-12-07,60658.7668775974
2023-12-08,58954.00722067534
2023-12-09,57571.55708057616
2023-12-10,56392.98405295105
2023-12-11,55361.16715898273
2023-12-12,54441.906444502885
2023-12-13,53612.45001854271
2023-12-14,75364.9897711165
2023-12-15,77722.48657851545
2023-12-16,77550.64152313196
2023-12-17,76300.70265416549
2023-12-18,74591.11540434987
2023-12-19,72727.24921009551
2023-12-20,70865.20191583998
2023-12-21,66900.22694324382
2023-12-22,78724.54396456815
2023-12-23,79008.27538843533
2023-12-24,77946.12773008272
2023-12-25,76364.01469791147
2023-12-26,74604.39615886111
2023-12-27,72830.92446351101
2023-12-28,71123.10180087175
2023-12-29,68180.03746548717
2023-12-30,88545.08376847325
2023-12-31,90129.03368164293
2024-01-01,89361.6851568906
2024-01-02,87625.45882288789
2024-01-03,85503.65112368567
2024-01-04,83280.92853280064
2024-01-05,81100.24599684642
2024-01-06,76893.72084880521
2024-01-07,74674.97881839161
2024-01-08,72849.5174967058
2024-01-09,71275.10481563296
2024-01-10,69883.06512996418
2024-01-11,93082.57180501448
2024-01-12,95260.22187526675
2024-01-13,94727.28066415628
2024-01-14,93053.4374973849
2024-01-15,90905.52968796919
2024-01-16,88611.50742291505
2024-01-17,86338.00321205087
2024-01-18,81796.33320937306
2024-01-19,79443.5957357093
2024-01-20,77513.74242141584
2024-01-21,75851.28069894135
2024-01-22,74381.81875429991
2024-01-23,73061.05073832377
2024-01-24,71859.5929328811
2024-01-25,70756.62277756238
2024-01-26,69736.69221122088
2024-01-27,68787.94373262514
2024-01-28,67901.03172001363
2024-01-29,67068.43183739609
2024-01-30,66283.97883846365
2024-01-31,65542.54600194452
2024-02-01,83321.18418976155
2024-02-02,85159.12939446693
2024-02-03,84909.01926536753
2024-02-04,83765.65101200837
2024-02-05,82239.193897085
2024-02-06,80582.16938528072
2024-02-07,78924.10901421601
2024-02-08,75537.87357547125
2024-02-09,73794.70182130326
2024-02-10,72361.49892735376
2024-02-11,71122.21136160976
2024-02-12,70021.82731495562
2024-02-13,69027.8702187314
2024-02-14,68118.97788450864
2024-02-15,67280.12597442334
2024-02-16,66500.24384236174
2024-02-17,65770.88541339997
2024-02-18,65085.42918068596
2024-02-19,64438.568504533076
2024-02-20,63825.97219412596
2024-02-21,63244.05030046902
2024-02-22,110160.84386636603
2024-02-23,116067.65942589458
2024-02-24,116552.15802217473
2024-02-25,114688.41237504059
2024-02-26,111791.31730256134
2024-02-27,108513.43448217705
2024-02-28,105190.95917934083
2024-02-29,97390.67427471081
2024-03-01,93774.67473599318
2024-03-02,90921.26746940007
2024-03-03,88534.59354448199
2024-03-04,86475.37122569064
2024-03-05,84662.01541833201
2024-03-06,83041.32483443197
2024-03-07,81576.23233601492
2024-03-08,80239.69751130274
2024-03-09,79011.30690067369
2024-03-10,77875.23138014381
2024-03-11,76818.92759389935
2024-03-12,75832.2754074544
2024-03-13,74906.98444712948
2024-03-14,74036.17375255922
2024-03-15,73214.0666801374
2024-03-16,72435.76477798993
2024-03-17,71697.07712279318
2024-03-18,70994.38944812928
2024-03-19,70324.5623610378
2024-03-20,69684.85117778368
2024-03-21,69072.84206713375
2024-03-22,68486.4006591913
2024-03-23,67923.63029834474
2024-03-24,67382.83783963502
2024-03-25,66862.50540479066
2024-03-26,66361.2668901804
2024-03-27,65877.88829594666
2024-03-28,79636.89579536903
2024-03-29,81114.6524561859
2024-03-30,80975.43884800648
2024-03-31,80140.1840173525
2024-04-01,79002.64224112476
2024-04-02,77758.08905069824
2024-04-03,76507.00017925614
2024-04-04,73920.60996261341
2024-04-05,80621.48800607039
2024-04-06,80618.18246029837
2024-04-07,79839.81863519378
2024-04-08,78764.56109039225
2024-04-09,77590.36759732635
2024-04-10,76411.6812340032
2024-04-11,108195.80055534405
2024-04-12,110805.33228023433
2024-04-13,110380.69654669867
2024-04-14,108471.76284023674
2024-04-15,105937.76575788416
2024-04-16,103205.66415422843
2024-04-17,100493.19762048604
2024-04-18,94715.60209549018
2024-04-19,91872.78354700189
2024-04-20,89586.33449853619
2024-04-21,87646.90597846986
2024-04-22,85954.62945929737
2024-04-23,84450.29957279598
2024-04-24,83094.88162371985
2024-04-25,81860.90200015958
2024-04-26,80728.13051156106
2024-04-27,79681.16224909767
2024-04-28,78707.95573475293
2024-04-29,77798.89780018567
2024-04-30,76946.17863381038
2024-05-01,76143.3591944456
2024-05-02,133087.6569625806
2024-05-03,140192.48609623546
2024-05-04,140714.59487563715
2024-05-05,138389.60438533826
2024-05-06,134814.9484040562
2024-05-07,130783.09680482409
2024-05-08,126702.06814729779
2024-05-09,117182.59237508048
2024-05-10,112753.24378225385
2024-05-11,109254.424748288
2024-05-12,106326.14114336646
2024-05-13,103798.76759280034
2024-05-14,101572.84875968297
2024-05-15,99583.46344697927
2024-05-16,97785.33036940442
2024-05-17,96145.38068521515
2024-05-18,94638.6223216803
2024-05-19,93245.65443136501
2024-05-20,91951.08664863877
2024-05-21,90742.48866503243
2024-05-22,89609.66715806891
2024-05-23,88544.15337278826
2024-05-24,87538.83098795227
2024-05-25,86587.66013930246
2024-05-26,85685.46899907885
2024-05-27,84827.79384394262
2024-05-28,84010.75458417284
2024-05-29,83230.95666111948
2024-05-30,82485.41284431721
2024-05-31,81771.48024801501
2024-06-01,81086.80912884738
2024-06-02,80429.30090373094
2024-06-03,79797.07345649457
2024-06-04,79188.43225968668
2024-06-05,78601.84617547844
2024-06-06,78035.9270512279
2024-06-07,77489.41241496973
2024-06-08,76961.15072053828
2024-06-09,76450.08870305156
2024-06-10,75955.26049155279
2024-06-11,75475.77819288286
2024-06-12,75010.82371383891
2024-06-13,116112.11508642448
2024-06-14,121307.56351689613
2024-06-15,121749.11790856619
2024-06-16,120128.64655580572
2024-06-17,117597.99983314643
2024-06-18,114729.13509577187
2024-06-19,111816.97421487531
2024-06-20,104981.57302461355
2024-06-21,101805.52859616515
2024-06-22,99294.16440352822
2024-06-23,97188.86191336974
2024-06-24,95368.01217538351
2024-06-25,93760.47036459326
2024-06-26,92319.90330646632
2024-06-27,100050.5192962267
2024-06-28,100081.07008625018
2024-06-29,99168.62648837041
2024-06-30,97885.00858085713
2024-07-01,96469.97852513002
2024-07-02,95039.28749961728
2024-07-03,93650.02135980003
2024-07-04,91452.57072259841
2024-07-05,90091.04443405347
2024-07-06,88910.0582621376
2024-07-07,87849.84712369424
2024-07-08,86880.93479214463
2024-07-09,85985.2248137587
2024-07-10,85150.35266172982
2024-07-11,84367.29993982508
2024-07-12,83629.18844879759
2024-07-13,82930.59789263495
2024-07-14,82267.14834561656
2024-07-15,81635.22941329767
2024-07-16,81031.81641862815
2024-07-17,80454.34104102463
2024-07-18,79900.59752158378
