D1,D7,D30,D180,h,p,dm,collab,wal,story,season
0.42620602924906364,0.21706505923281794,0.0995607200768612,0.032389097883006306,2.150416573048262,0.02317327819749187,0.44667901860082393,997860.1313963619,286312.1111533121,162445.35608227723,183138.52960299296
0.5716465087283941,0.30934504319840017,0.1363979948055915,0.03859741922748649,2.2137524663950976,0.0408347996245861,0.4565623156085403,657708.1099644197,203672.06865871692,119128.39204577547,139218.52841233075
0.4223290434946623,0.24054073147341484,0.12937692056522354,0.048916606253858116,2.2596022045663284,0.023980378116130057,0.5106232822039858,675788.4175247115,202535.5244066561,112588.89142753689,121100.27330165869
0.4082712646384896,0.2108748269829327,0.10017653929795509,0.034229534473109724,2.2333962640580425,0.023214994702485954,0.455101940655632,785690.9590217185,261524.57842490554,172344.1088477364,173016.32221384998
0.4229350223868517,0.21750534370308353,0.10098267167080803,0.032250674991253586,2.268353272095352,0.021516258536548025,0.44069293188668174,926203.3875738669,258756.58046630223,147055.25644188668,142856.96431838325
0.422889886785944,0.22578466239635964,0.11062048809455352,0.037050861120863685,2.1926815509137727,0.021854895609331626,0.4639407507185933,670698.7135952538,259471.77736512444,130457.651775302,176473.74961426854
0.4200854845178953,0.22101355412365867,0.10667114434378673,0.03619461689833116,2.241923635083322,0.023410550770271845,0.4603781204549444,777329.1543421386,286744.19175631413,147732.80233335076,139000.24386491106
0.423520947906095,0.20877686617676292,0.09182871304278434,0.02983108827265182,2.286625835225513,0.023424210369152848,0.4295269823686589,815247.0361844891,273244.55967647466,185533.26328623877,121295.33120671932
0.42125733361572215,0.22166536878180354,0.10727136669122919,0.03723232368858112,2.0521727363045517,0.025162791971304114,0.4687111379635602,636018.298832085,312902.892551472,144388.10477536745,161090.8220708
0.42158433900609055,0.20692393935245965,0.09047736412294352,0.029129525947641167,2.172037103166201,0.02312167703227554,0.4222372386434731,793233.0213592063,330790.8848504651,168322.4720661126,166188.4769457678
0.42138525498967444,0.20464898596465364,0.08818135922102881,0.028263281916870484,2.2646379137778054,0.022626277318450728,0.4207885599890867,790591.8114224134,258721.50448287505,171513.7102739745,143832.8136970036
0.4233224579847024,0.2238339561464914,0.10878267074154357,0.037551772659003634,2.2482140384883045,0.024411673460264273,0.4677060067427926,715019.7608692626,237735.88050205016,164034.43099749193,116137.68134358742
0.4164814554944959,0.2300791750281851,0.11923776187077394,0.043671227010151914,2.1800795395586694,0.02396367795123116,0.4983805480361814,757829.5308060676,196862.7884119242,161284.8206973033,134353.14603720262
0.421156088236396,0.22514753856131786,0.1108117284798018,0.03769097740553496,2.2953172828025363,0.022231755870281505,0.46838432907017596,651085.8021129966,297314.1740844686,146392.26765877882,130617.81602115538
0.43496071673932063,0.2508868338901553,0.1314822794624663,0.036164723616175225,2.1034919055934216,0.016348225914415315,0.45242299190143864,718608.1935783598,288310.5215503677,186786.56200366025,159645.0921392762
0.41988563453002486,0.213062525698876,0.09765799380272497,0.0318074768391971,2.1008345871772094,0.022695383878259225,0.4413844509024185,907457.9191947787,302960.3062849485,213580.73140338008,173387.83849355008
0.48506946407854873,0.23411457962891125,0.09622868854182251,0.03373442621028102,2.146772077564702,0.034071183677097536,0.4562612074344702,790728.5492094436,227106.73088403424,183885.8282206473,134717.97280084027
0.4286147982143064,0.2096766445204735,0.09072469942118583,0.028968229377591005,2.4211065593911263,0.023048485926427123,0.42434564107367523,848845.2089235119,288681.9061755016,163503.70324225075,131882.82032462736
0.48659208458522235,0.2573926274379197,0.11806219288799784,0.03445889892190533,2.0494930847018353,0.022405154385271117,0.4580524174053565,737071.305655558,250353.3107745341,150921.40933096275,126117.26966549021
0.420089766100915,0.22168402940515433,0.10747948778707403,0.036663363371436206,2.2491640733744838,0.023638185844850154,0.46648537443332255,687818.7556558385,229476.38221805205,189011.6847267331,131555.91612443535
