title,restart_idx,obj,D180,lam,k,p,c,tau,stock,th0_log_lam,th0_k,th0_p,th0_c,th0_log_tau,th0_h,rmse,h
Warframe,1,27.657541621521357,0.0460982224252028,24.985276287736596,1.3255617743660966,0.6,0.105812982839542,562.3542648505473,301716.8204208751,4.605170185988092,1.4,0.4,0.9,8.294049640102028,2.2,0.14625392326629022,2.2
Warframe,2,27.657541621524565,0.0460981272650672,24.98511214177662,1.325553482928695,0.6,0.1058127917382434,562.353809280539,301717.1113734046,3.218875824868201,2.0,0.5,0.15,9.210340371976184,2.2,0.14625392326629477,2.2
Warframe,3,27.657541621545047,0.046098264909219,24.98535984499864,1.3255668388240118,0.6,0.1058129270409292,562.356811807835,301717.0425156931,3.4011973816621555,2.2,0.1,0.1,8.987196820661973,2.2,0.14625392326635378,2.2
Warframe,4,27.65754162156272,0.0460983148555833,24.98524433363308,1.3255578377753952,0.6,0.1058133471488326,562.3517372671874,301716.7709288367,3.80666248977032,2.5,0.3,0.1,9.615805480084347,2.2,0.1462539232664005,2.2
Warframe,5,27.65754162158541,0.046098414059703,24.98517711246948,1.3255564829274178,0.6,0.1058135796565056,562.3516578799753,301717.13242150855,2.995732273553991,1.0,0.05,0.9,6.907755278982137,2.2,0.14625392326644043,2.2
Warframe,6,27.65754162480509,0.0461004218270619,24.986539580807577,1.3256411362373224,0.6,0.1058182706698028,562.3503124803291,301716.7468749501,0.4054651081081644,0.3,0.023,0.9,8.699514748210191,2.2,0.14625392327368258,2.2
DbD,0,36.95011425737386,0.0135548257582614,1.5200633506619023,0.3473304066708798,0.1875040267009796,0.05,19999.99999999998,0.0,3.4011973816621555,2.2,0.1,0.1,8.987196820661973,2.2,0.16904745247710046,2.2
DbD,1,36.950114257579216,0.0135549157843551,1.520131763633845,0.3473333984229901,0.1875053772690716,0.05,19999.99999999998,0.0,3.80666248977032,2.5,0.3,0.1,9.615805480084347,2.2,0.16904745247755215,2.2
DbD,2,36.950114494003145,0.0135572312613997,1.5221706144766756,0.3474269589603049,0.1875480432055905,0.05,19999.99999999998,0.0,4.605170185988092,1.4,0.4,0.9,8.294049640102028,2.2,0.16904745297337515,2.2
DbD,3,36.95174348640913,0.013484895001998,1.494877474446182,0.3463562290399657,0.1865118872148397,0.05,19861.838590799285,0.0,3.218875824868201,2.0,0.5,0.15,9.210340371976184,2.2,0.16905117930876548,2.2
DbD,4,36.96005586912052,0.0133236298155876,1.187419706534652,0.3356143657220115,0.0870977170890793,0.106273164566106,19990.510171925427,0.0,2.995732273553991,1.0,0.05,0.9,6.907755278982137,2.2,0.16906958519781817,2.2
DbD,5,36.96512591271453,0.0133923188393288,0.998395746795424,0.3243768004776968,0.0666536557979595,0.1384441007996173,19905.80671394565,0.0,0.4054651081081644,0.3,0.023,0.9,8.699514748210191,2.2,0.16908178342398544,2.2
DbD,6,36.96630310756576,0.0139362944362776,1.0581870887661853,0.329126593385785,0.0096774453551699,0.997024067544546,19999.99999999998,0.0,4.0943445622221,0.8,0.2,0.7,7.600902459542082,2.2,0.16908448056532352,2.2
